from	to
F13A1	CD1A
F13A1	FCER1A
F13A1	CCL13
F13A1	PLAU
F13A1	QPRT
F13A1	GPD1L
F13A1	PARM1
F13A1	MAP4K1
F13A1	CMTM8
F13A1	CARD9
F13A1	CTSC
F13A1	KAT2A
F13A1	TCF4
F13A1	NAAA
F13A1	AP1B1
F13A1	GRHPR
F13A1	NME4
F13A1	OSBPL7
F13A1	MXD4
F13A1	BLNK
F13A1	CDR2
F13A1	AHCY
F13A1	MFSD3
F13A1	SCN9A
F13A1	EPB41L2
F13A1	BLVRA
F13A1	EMILIN2
F13A1	SNRPN
F13A1	RAB35
F13A1	PPFIBP1
F13A1	MAN1C1
F13A1	PXN
F13A1	AP2M1
F13A1	P2RY14
F13A1	AHCYL2
F13A1	RBM15B
F13A1	CD180
F13A1	LSM7
F13A1	LGALS1
F13A1	ZNF124
F13A1	PWP2
F13A1	SNURF
F13A1	GAS6
F13A1	EEFSEC
F13A1	ARL2
F13A1	XYLB
F13A1	DAGLB
F13A1	FIS1
F13A1	PITRM1
F13A1	ZNF551
F13A1	QARS
F13A1	CHID1
F13A1	NDFIP2
F13A1	COPS5
F13A1	DDX51
F13A1	CD1E
F13A1	C14orf80
F13A1	HRH1
F13A1	FARP1
F13A1	SLC7A8
F13A1	SUCNR1
F13A1	GSDMA
F13A1	SLC46A3
F13A1	KIAA0100
F13A1	PACS2
F13A1	NUDT1
F13A1	HLA-DRA
F13A1	ICA1L
F13A1	VARS
F13A1	HMBS
F13A1	PATZ1
F13A1	PMS1
F13A1	NOC2L
F13A1	ADRBK1
F13A1	TYSND1
F13A1	PRSS3
CD1A	FCER1A
CD1A	CCL13
CD1A	PLAU
CD1A	QPRT
CD1A	GPD1L
CD1A	PARM1
CD1A	MAP4K1
CD1A	CMTM8
CD1A	CARD9
CD1A	FSCN1
CD1A	CTSC
CD1A	ARL4C
CD1A	TCF4
CD1A	NAAA
CD1A	AP1B1
CD1A	PPP1R3E
CD1A	OSBPL7
CD1A	MXD4
CD1A	AHCY
CD1A	MFSD3
CD1A	SCN9A
CD1A	ERCC2
CD1A	KLHDC3
CD1A	EMILIN2
CD1A	RAB35
CD1A	MAN1C1
CD1A	PXN
CD1A	AP2M1
CD1A	P2RY14
CD1A	HINT1
CD1A	EEFSEC
CD1A	ARL2
CD1A	DAGLB
CD1A	ARHGEF18
CD1A	QARS
CD1A	COPS5
CD1A	DDX51
CD1A	SLC17A7
CD1A	C14orf80
CD1A	ADAM19
CD1A	ZNF704
CD1A	SLC7A8
CD1A	CST3
CD1A	SLC35F3
CD1A	FAM69A
CD1A	NFATC2
CD1A	SYNGR2
CD1A	KIAA0100
CD1A	RFXAP
CD1A	PACS2
CD1A	ICA1L
CD1A	MTFMT
CD1A	VARS
CD1A	AAAS
CD1A	NOC2L
CD1A	TYSND1
CD1A	PRSS3
CXCL10	ANKRD22
CXCL10	GCH1
CXCL10	GBP4
CXCL10	HAPLN3
CXCL10	HBEGF
CXCL10	GBP1
CXCL10	STX11
CXCL10	RHBDF2
CXCL10	FPR2
CXCL10	NCOA7
CXCL10	PSME2
CXCL10	FRMD3
CXCL10	PNKD
CXCL10	LY6E
CXCL10	LGALS9
CXCL10	GIMAP5
CXCL10	IRF8
CXCL10	DDX60
CXCL10	DTX3L
CXCL10	FAM20A
CXCL10	LAMB3
CXCL10	ZYX
CXCL10	KIF1B
CXCL10	PLEKHA7
CXCL10	TRIM22
CXCL10	CD37
CXCL10	NINJ1
CXCL10	CDA
CXCL10	HSD3B7
CXCL10	FGR
CXCL10	SELM
CXCL10	RRP12
CXCL10	CYB5R2
CXCL10	ADORA2A
CXCL10	KCTD13
CXCL10	PML
CXCL10	TRIM25
CXCL10	NMI
CXCL10	HM13
CXCL10	NDST1
CXCL10	TCIRG1
CXCL10	H1FX
CXCL10	CYB5A
CXCL10	HELQ
CXCL10	DPH3
CXCL10	SP110
CXCL10	DUSP8
CXCL10	TIMM44
CXCL10	NLRP2
CXCL10	ZFPM1
CXCL10	RASGRP1
CXCL10	WTAP
CXCL10	GMEB1
CXCL10	TBC1D22B
CXCL10	USF1
CXCL10	PARP9
CXCL10	IL32
CXCL10	SOX13
CXCL10	AKAP2
CXCL10	RBMS1
CXCL10	MIS12
CXCL10	RHOQ
CXCL10	LDLRAP1
CXCL10	FBXO18
CXCL10	GLRX2
CXCL10	C20orf197
CXCL10	TDRD9
CXCL10	RASA2
CXCL10	SULT1A3
CXCL10	LMF1
CXCL10	PGS1
CXCL10	ZDHHC5
CXCL10	NUDT22
CXCL10	NFKBIA
CXCL10	COPZ1
CXCL10	HYOU1
CXCL10	SERPINI1
CXCL10	RHOH
CXCL10	MDGA1
CXCL10	SRGN
CXCL10	TLR10
FCGR1B	FCGR1A
FCGR1B	ADAMDEC1
FCGR1B	VSIG4
FCGR1B	MT1F
FCGR1B	CA12
FCGR1B	BCL2A1
FCGR1B	TSC22D1
FCGR1B	IL27
FCGR1B	SLC31A1
FCGR1B	EAF1
FCGR1B	DRAM1
FCGR1B	DUSP6
FCGR1B	AKAP13
FCGR1B	ACSL1
FCGR1B	MTF1
FCGR1B	TRIM21
FCGR1B	PPP1R15B
FCGR1B	SLC31A2
FCGR1B	MLPH
FCGR1B	RILPL2
FCGR1B	BTG1
FCGR1B	CLDN7
FCGR1B	SLC7A7
FCGR1B	FKBP15
FCGR1B	TRIM25
FCGR1B	ARL4A
FCGR1B	PIK3AP1
FCGR1B	P2RX4
FCGR1B	TSPAN14
FCGR1B	PCGF1
FCGR1B	ANAPC10
FCGR1B	SFMBT2
FCGR1B	CRTAM
FCGR1B	ACSL5
FCGR1B	UBE2J1
FCGR1B	MYO1F
FCGR1B	BBX
FCGR1B	WTAP
FCGR1B	MESDC1
FCGR1B	VRK2
FCGR1B	POLD4
FCGR1B	GPD2
FCGR1B	FOXN2
FCGR1B	ASAH1
FCGR1B	TOM1
FCGR1B	XBP1
FCGR1B	FYCO1
FCGR1B	USP6NL
FCGR1B	SLC30A1
FCGR1B	ERAP1
FCGR1B	LYN
FCGR1B	LACTB
FCGR1B	APOBEC3F
FCGR1B	TSGA10
FCGR1B	ATL2
FCGR1B	FAM20C
FCGR1B	OXSR1
FCGR1B	ARHGAP5
FCGR1B	PGK1
ANKRD22	IFIT2
ANKRD22	GBP4
ANKRD22	EDN1
ANKRD22	PDE4B
ANKRD22	IFIT3
ANKRD22	GBP1
ANKRD22	MT1F
ANKRD22	STX11
ANKRD22	CAMP
ANKRD22	LGALS3BP
ANKRD22	IRF7
ANKRD22	LAP3
ANKRD22	STAT3
ANKRD22	PSMB8
ANKRD22	IFI35
ANKRD22	ANKRD29
ANKRD22	FFAR2
ANKRD22	IRF8
ANKRD22	DDX60
ANKRD22	CCL3
ANKRD22	TNFAIP2
ANKRD22	DTX3L
ANKRD22	FAM20A
ANKRD22	TRIM21
ANKRD22	SHISA5
ANKRD22	KCNMB1
ANKRD22	FYB
ANKRD22	ATP1A1
ANKRD22	PGD
ANKRD22	TRIM22
ANKRD22	IKBKE
ANKRD22	GALNT4
ANKRD22	PSME1
ANKRD22	STAT2
ANKRD22	CYB5R2
ANKRD22	LMF2
ANKRD22	TRIM25
ANKRD22	CASP7
ANKRD22	NCOR1
ANKRD22	SERPINB9
ANKRD22	APOBEC3H
ANKRD22	CYB5A
ANKRD22	PFDN1
ANKRD22	IRF9
ANKRD22	DPH3
ANKRD22	SP110
ANKRD22	SOS1
ANKRD22	WIPI1
ANKRD22	FLJ32255
ANKRD22	CEBPE
ANKRD22	NADK
ANKRD22	WTAP
ANKRD22	CIR1
ANKRD22	COQ10B
ANKRD22	AHI1
ANKRD22	GRB2
ANKRD22	TBC1D22B
ANKRD22	PRDX5
ANKRD22	DGAT2
ANKRD22	PFKFB3
ANKRD22	PGAM4
ANKRD22	SP140L
ANKRD22	STRN4
ANKRD22	CDK5RAP2
ANKRD22	PRPF6
ANKRD22	SGMS1
ANKRD22	STAG3
ANKRD22	CCDC50
ANKRD22	CANT1
ANKRD22	ZSCAN5A
ANKRD22	AVIL
ANKRD22	ISY1
ANKRD22	CAPNS2
ANKRD22	SPPL2A
ANKRD22	TBK1
ANKRD22	ILDR1
ANKRD22	RHOT2
ANKRD22	C20orf24
ANKRD22	SAMD9
ANKRD22	HIST1H2BK
ANKRD22	SLC8A1
ANKRD22	DTNB
ANKRD22	MDGA1
ANKRD22	SLC9A8
IFIT2	GBP4
IFIT2	ADAMDEC1
IFIT2	IFIT3
IFIT2	GBP1
IFIT2	SERPING1
IFIT2	STX11
IFIT2	LAP3
IFIT2	LILRB4
IFIT2	IRF8
IFIT2	DDX60
IFIT2	RSAD2
IFIT2	XAF1
IFIT2	TRIM22
IFIT2	STAT2
IFIT2	RRP12
IFIT2	CYB5R2
IFIT2	HERC5
IFIT2	TRIM25
IFIT2	TP53INP2
IFIT2	DPH3
IFIT2	SP110
IFIT2	SCO2
IFIT2	WTAP
IFIT2	CAPG
IFIT2	PARP9
IFIT2	PSMA4
IFIT2	FICD
IFIT2	NEDD9
IFIT2	RAB3IP
IFIT2	VAV1
IFIT2	MAPKAPK2
IFIT2	DNAJB9
IFIT2	CDKL1
IFIT2	TLR10
APOBEC3A	ADAMDEC1
APOBEC3A	LILRB4
APOBEC3A	FOSB
APOBEC3A	TNS3
APOBEC3A	DUSP10
APOBEC3A	CD300LF
APOBEC3A	TLR1
APOBEC3A	CCNL1
APOBEC3A	ADAM28
APOBEC3A	NFKBIZ
APOBEC3A	PSMA4
APOBEC3A	FICD
APOBEC3A	NEDD9
APOBEC3A	TXNL4B
APOBEC3A	ZCRB1
APOBEC3A	LRRCC1
APOBEC3A	SP100
APOBEC3A	CCDC7
APOBEC3A	DALRD3
APOBEC3A	LIN52
APOBEC3A	SMYD2
GCH1	IL1B
GCH1	PDE4B
GCH1	IFIT3
GCH1	IFI27
GCH1	HBEGF
GCH1	SOD2
GCH1	MT1F
GCH1	GPR84
GCH1	CAMP
GCH1	RHBDF2
GCH1	FPR2
GCH1	IRF7
GCH1	PSME2
GCH1	STAT3
GCH1	FRMD3
GCH1	PNKD
GCH1	LY6E
GCH1	IFI35
GCH1	HTRA4
GCH1	RAB20
GCH1	EAF1
GCH1	LGALS9
GCH1	MSR1
GCH1	F3
GCH1	GIMAP5
GCH1	DRAM1
GCH1	CCL3
GCH1	FAM20A
GCH1	OTUD1
GCH1	IGF2BP3
GCH1	STOM
GCH1	FYB
GCH1	LMNB1
GCH1	ZYX
GCH1	CD37
GCH1	NINJ1
GCH1	CDA
GCH1	GALNT4
GCH1	PSME1
GCH1	HSD3B7
GCH1	FGR
GCH1	SELM
GCH1	RRP12
GCH1	CYB5R2
GCH1	LMF2
GCH1	PML
GCH1	CASP7
GCH1	NCOR1
GCH1	SERPINB9
GCH1	NDST1
GCH1	NRN1
GCH1	TCIRG1
GCH1	H1FX
GCH1	HELQ
GCH1	DUSP8
GCH1	PNPLA8
GCH1	ZNF438
GCH1	FLJ32255
GCH1	NLRP2
GCH1	CEBPE
GCH1	ZFPM1
GCH1	RASGRP1
GCH1	GMEB1
GCH1	COQ10B
GCH1	AHI1
GCH1	PRDX5
GCH1	USF1
GCH1	PFKFB3
GCH1	IFIT5
GCH1	IL32
GCH1	YIPF5
GCH1	SOX13
GCH1	AKAP2
GCH1	RBMS1
GCH1	STAG3
GCH1	RNF13
GCH1	CANT1
GCH1	ZSCAN5A
GCH1	RHOQ
GCH1	CAPNS2
GCH1	RAB42
GCH1	GLRX2
GCH1	RASA2
GCH1	ACO1
GCH1	C20orf24
GCH1	TMED7
GCH1	PGS1
GCH1	SLC8A1
GCH1	YIPF1
GCH1	PSMD4
GCH1	NUDT22
GCH1	NFKBIA
GCH1	TRPS1
GCH1	AKAP7
GCH1	ENTHD1
GCH1	UTP23
GCH1	DLAT
GCH1	MAPK8
GCH1	MAP1LC3B
GCH1	SRGN
GCH1	HEY1
GCH1	PNRC2
FCGR1A	ADAMDEC1
FCGR1A	VSIG4
FCGR1A	MT1F
FCGR1A	CA12
FCGR1A	BCL2A1
FCGR1A	TSC22D1
FCGR1A	IL27
FCGR1A	SLC31A1
FCGR1A	EAF1
FCGR1A	DRAM1
FCGR1A	DUSP6
FCGR1A	AKAP13
FCGR1A	ACSL1
FCGR1A	MTF1
FCGR1A	TRIM21
FCGR1A	PPP1R15B
FCGR1A	SLC31A2
FCGR1A	MLPH
FCGR1A	RILPL2
FCGR1A	BTG1
FCGR1A	CLDN7
FCGR1A	SLC7A7
FCGR1A	FKBP15
FCGR1A	TRIM25
FCGR1A	ARL4A
FCGR1A	PIK3AP1
FCGR1A	P2RX4
FCGR1A	TSPAN14
FCGR1A	PCGF1
FCGR1A	ANAPC10
FCGR1A	SFMBT2
FCGR1A	CRTAM
FCGR1A	ACSL5
FCGR1A	UBE2J1
FCGR1A	MYO1F
FCGR1A	BBX
FCGR1A	WTAP
FCGR1A	MESDC1
FCGR1A	VRK2
FCGR1A	POLD4
FCGR1A	GPD2
FCGR1A	FOXN2
FCGR1A	ASAH1
FCGR1A	TOM1
FCGR1A	XBP1
FCGR1A	FYCO1
FCGR1A	USP6NL
FCGR1A	SLC30A1
FCGR1A	ERAP1
FCGR1A	LYN
FCGR1A	LACTB
FCGR1A	APOBEC3F
FCGR1A	TSGA10
FCGR1A	ATL2
FCGR1A	FAM20C
FCGR1A	OXSR1
FCGR1A	ARHGAP5
FCGR1A	PGK1
GBP4	PDE4B
GBP4	SOD2
GBP4	GBP1
GBP4	MT1F
GBP4	PTGS2
GBP4	SERPINA1
GBP4	STX11
GBP4	CAMP
GBP4	IL27
GBP4	PLAUR
GBP4	ZC3H12A
GBP4	ZNF385A
GBP4	SLC28A3
GBP4	G0S2
GBP4	LAP3
GBP4	SLC31A1
GBP4	CYP27B1
GBP4	DRAM1
GBP4	IRF8
GBP4	DDX60
GBP4	APOL6
GBP4	CCL3
GBP4	SLC43A3
GBP4	DTX3L
GBP4	DUSP6
GBP4	FAM20A
GBP4	MTF1
GBP4	TRIM21
GBP4	PGAM1
GBP4	PNRC1
GBP4	CKAP4
GBP4	PPP1R15B
GBP4	SPSB1
GBP4	SLC31A2
GBP4	TRIM22
GBP4	MLPH
GBP4	RILPL2
GBP4	SLC7A7
GBP4	ICAM3
GBP4	STAT2
GBP4	FKBP15
GBP4	CYB5R2
GBP4	TRIM25
GBP4	CASP7
GBP4	TLE3
GBP4	CTRL
GBP4	LIMK2
GBP4	PNPLA2
GBP4	CYB5A
GBP4	FLOT1
GBP4	RANBP6
