"","x_location","y_location"
"A2M","552.641617560401","-1415.57754339341"
"A4GALT","-1346.22944567202","271.760225161276"
"A4GNT","974.384506964698","13.922288759909"
"AAAS","-445.720534539209","-656.734586850443"
"AAK1","-145.51217577456","635.332124575339"
"AAMP","656.517258429541","721.585603579245"
"AANAT","1057.93943860532","901.180879458151"
"AARS","808.985153937354","515.711213930807"
"AASDH","1050.08458020689","-190.552869931497"
"AASDHPPT","740.243393683448","275.499147280417"
"AASS","568.621628546729","983.965791567526"
"AATF","829.216782355323","375.843141421042"
"AATK","-921.901747918115","-466.961881772318"
"ABAT","253.08027722837","-652.573454037943"
"ABCA1","-669.256850457177","1372.82711969253"
"ABCA2","162.236328864112","-1498.86977972154"
"ABCA3","-242.297866082177","-674.958036557474"
"ABCA6","-376.783187127099","-850.081449643411"
"ABCA7","88.4949386358403","-982.774931088724"
"ABCA9","-15.1853897333003","103.958566530905"
"ABCB1","-1762.7770530939","-80.6371747410676"
"ABCB10","-541.22376940249","-119.849226132669"
"ABCB6","1177.64714124204","44.7912729823211"
"ABCB7","-396.958998894677","-344.133604184427"
"ABCB8","-918.043288445459","-266.993284360208"
"ABCB9","618.356919074073","-90.4826489842317"
"ABCC10","-987.348830437646","125.293351992331"
"ABCC2","712.376023077979","1796.52829156753"
"ABCC3","-383.018080925927","-212.260435239114"
"ABCC4","-237.823592400537","-697.956815854349"
"ABCC5","-711.010512566552","-52.6148892796418"
"ABCC6","26.8379476308965","1538.49411188003"
"ABCD1","1340.28898694517","18.5072344386199"
"ABCD3","-881.796645379052","98.2388933741668"
"ABCD4","-354.775344109521","-968.544706479349"
"ABCF1","-231.01982042788","854.409150942526"
"ABCF2","338.800370001807","-568.86581243638"
"ABCF3","613.124924445166","-691.974455014505"
"ABCG1","247.968064093604","258.213365420065"
"ABCG2","116.255516791358","-893.81014837388"
"ABHD10","562.938401007666","-682.333830014505"
"ABHD11","114.057266974463","-432.114866391458"
"ABHD12","-870.713332390771","-218.807249203958"
"ABHD13","540.986344122901","822.752961977682"
"ABHD14A","-606.592971062646","-298.370420590677"
"ABHD15","-367.727156853662","-615.649931088724"
"ABHD2","21.6619708776616","703.274385317526"
"ABHD3","-1032.77851793765","-610.954801694193"
"ABHD4","643.517685675635","-540.039823666849"
"ABHD5","270.060059332862","876.562105044089"
"ABHD6","-645.682997918115","43.7171076380828"
"ABI2","470.81465222837","-371.577604428568"
"ABI3","-1051.92817614077","1089.54611383315"
"ABL1","-577.614699578271","-530.663786069193"
"ABLIM1","-369.320815300927","1734.32089410659"
"ABLIM2","-313.697798943505","414.042817934714"
"ABLIM3","-1020.40119860171","849.957979067526"
"ABR","-694.397048211084","-445.56600774888"
"ABTB1","-453.995711541162","-500.761869565286"
"ACAA1","-607.860305047021","-63.5488568699739"
"ACAA2","-760.437758660302","-10.3633634007356"
"ACACA","-142.958052849755","66.884220942221"
"ACACB","-792.727736687646","419.961427553854"
"ACAD10","1025.92015149595","1253.49423395034"
"ACAD11","250.021988654151","-473.297697202005"
"ACAD8","-425.125350213037","1160.95431695815"
"ACAD9","-380.903487420068","-472.657072202005"
"ACADM","-896.36634752749","320.587037905417"
"ACADS","-550.641066765771","958.771516665182"
"ACADVL","-913.757643914209","242.09951959487"
"ACAP1","357.207169318213","-1093.51418890122"
"ACAP3","-337.998030877099","-747.132658139505"
"ACAT1","-723.785720086084","48.85835729476"
"ACBD4","-299.301680779443","-944.996610776224"
"ACBD5","711.358322882666","152.828096255026"
"ACBD6","-909.295729851709","129.849466189108"
"ACE","-525.632704949365","-611.592741147318"
"ACIN1","-0.88322756289017","-592.566312924661"
"ACLY","-444.273360466943","-1155.17300237779"
"ACO1","340.22578504087","735.063264712057"
"ACO2","745.645737433448","-884.731107846536"
"ACOT1","150.63267591001","-167.104765073099"
"ACOT11","-875.545485711084","-24.3981839573762"
"ACOT2","-502.522719597802","-5.19588293198558"
"ACOT4","-516.833388543115","918.024446352682"
