T cells,B cells,NK cells,Monocytes,Dendritic cells,Mast cells,Eosinophils,Neutrophils
CA8,ABCB4,CDHR1,UPK3A,FZD2,STXBP6,PDE6C,EMR2
TSHR,ADAM28,ZNF135,NLRP3,GSTT1,PAQR5,GIPR,C5AR2
FZD3,BACH2,TEP1,ASGR1,FAM198B,FAM124B,ZNF222,PLEKHG3
SLC7A10,BCL7A,NAALADL1,VNN1,PPFIBP1,ADAMTS3,KRT18P50,DPEP2
IL21,BEND5,KLRB1,HPSE,SCN9A,HOXA1,SMPDL3B,PADI4
ZBTB10,BRAF,ZBP1,ASGR2,FCER2,FAM174B,PKD2L2,FAM212B
SH2D1A,CD19,PVRIG,CD33,DHRS11,RAB27B,DACH1,TREML2
ICA1,CD22,PLEKHF1,CD1D,FLVCR2,BPI,EPN2,REPS2
CXCR5,CD37,S1PR5,CCR2,SLAMF8,GFI1,TRPM6,MAK
PDCD1,CD69,KLRC3,CFP,TREM2,LTC4S,DEPDC5,STEAP4
SIRPG,CD72,GZMH,CLEC7A,EGR2,MS4A3,IL5RA,PGLYRP1
ST8SIA1,CD79A,CAMP,S100A12,ALOX15,BMP2K,RRP12,MXD1
DGKA,CD79B,IL18RAP,FCN1,HLA-DQA1,CEACAM8,P2RY2,MEFV
MAP4K1,CR2,TBX21,S100A6,C1orf54,P2RX1,ST3GAL6,BTNL8
PTPRCAP,FAIM3,TTC38,S100A8,RNASE6,MS4A2,DAPK2,CREB5
CHI3L2,FCRL2,DEFA4,CD14,FPR3,FCER1A,OSM,ALOX5
LCK,FRK,GZMM,LGALS1,ACP5,ELANE,SMPD3,BST1
TRIB2,GPR18,CD300A,ITGB2,CD1E,ADRB2,P2RY10,CEACAM3
ICOS,HHEX,KLRK1,FCGR3A,CD1C,CTSG,CD244,VNN3
CD2,HLA-DOB,KLRD1,,CD1A,HPGDS,NR4A3,LILRA2
PASK,IL4R,KLRF1,,MMP12,CPA3,GPR97,HSPA6
ZAP70,KIAA0226L,CD247,,CD1B,NOX3,RNASE2,NFE2
LAT,LINC00921,PRR5L,,TMEM255A,HDC,GPR183,HAL
CXCL13,MEP1A,KIR2DL1,,MAP3K13,SLC12A8,EMR3,FFAR2
TRAC,MICAL3,CDK6,,HTR2B,TEC,C3AR1,MMP25
CD3D,MS4A1,PTGDR,,PDCD1LG2,CMA1,RGS1,QPCT
GPR1,NIPSNAP3B,TXK,,SLCO5A1,LINC00597,ZNF165,CDA
